no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
185083;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;19/09/2023;74000;1;74000;40%;44400
185083;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;19/09/2023;93500;1;93500;40%;56100
185084;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;19/09/2023;74000;1;74000;40%;44400
185084;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;19/09/2023;66000;1;66000;50%;33000
185085;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;19/09/2023;25000;1;25000;40%;15000
185086;mic 0600515;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;20/09/2023;471000;2;942000;50%;471000
185087;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;20/09/2023;222000;1;222000;50%;111000
185087;mic 0103001;anak kunci;anak kunci;anak kunci/cylinder;20/09/2023;230000;1;230000;50%;115000
185088;mic 1900002;gembok;gembok;gembok;21/09/2023;211000;1;211000;50%;105500
185088;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;21/09/2023;25000;1;25000;40%;15000
185089;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;22/09/2023;536500;6;3219000;PROMO;1050000
185089;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;22/09/2023;159000;6;954000;50%;477000
185089;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;22/09/2023;73000;6;438000;50%;219000
185089;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;22/09/2023;93500;3;280500;40%;168300
185089;mic 2006009;grendel jendela K;grendel jendela;grendel kodok khusus jendela;22/09/2023;90500;6;543000;40%;325800
185090;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;22/09/2023;25000;1;25000;40%;15000
185091;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;22/09/2023;25000;1;25000;40%;15000
185092;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;23/09/2023;25000;2;50000;40%;30000
185093;mic 0600510;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;23/09/2023;471000;1;471000;50%;235500
185093;mic 2010106;gantungan baju;gantungan baju;gantungan baju;23/09/2023;83500;4;334000;40%;200400
185094;mic 2012101;grendel pintu AB;grendel pintu;grendel pintu;24/09/2023;111500;1;111500;40%;66900
185095;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);25/09/2023;283000;1;283000;50%;141500
185096;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;26/09/2023;50000;2;100000;40%;60000
185097;mic 1900201;gembok;gembok;gembok angka;26/09/2023;57500;1;57500;50%;28750
185098;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;26/09/2023;74000;1;74000;40%;44400
185098;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;26/09/2023;159000;1;159000;50%;79500
185099;mic 1100005;door  closer;door  closer;door  closer/otomatis pintu;26/09/2023;455500;2;911000;50%;455500
185100;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;28/09/2023;164500;1;164500;40%;98700
186951;mic 0600513;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;28/09/2023;471000;1;471000;50%;235500
186952;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;28/09/2023;40000;16;640000;40%;384000
186952;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;28/09/2023;74000;4;296000;40%;177600
186952;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;28/09/2023;93500;8;748000;40%;448800
186952;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;28/09/2023;82500;1;82500;40%;49500
186952;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;28/09/2023;56500;1;56500;40%;33900
186952;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;28/09/2023;222000;1;222000;50%;111000
186952;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;28/09/2023;129000;1;129000;50%;64500
186952;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;28/09/2023;164500;1;164500;40%;98700
186952;mic 0600510;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;28/09/2023;471000;2;942000;50%;471000
186953;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;28/09/2023;39000;2;78000;40%;46800
186954;mic 0600031;gagang pintu D;gagang pintu;gagang pintu;29/09/2023;1313500;2;2627000;50%;1313500
186955;mic 1100005;door  closer;door  closer;door  closer/otomatis pintu;29/09/2023;455500;3;1366500;50%;683250
186956;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);30/09/2023;342000;2;684000;60%;273600
186956;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;30/09/2023;218000;1;218000;50%;109000
186956;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;30/09/2023;129000;1;129000;50%;64500
186958;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/10/2023;283000;3;849000;50%;424500
186959;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;01/10/2023;129000;1;129000;40%;77400
186959;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;01/10/2023;218000;1;218000;50%;109000
186960;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;02/10/2023;74000;1;74000;40%;44400
186960;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/10/2023;73000;1;73000;50%;36500
186961;mic 0600500;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;02/10/2023;526500;1;526500;50%;263250
186962;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;02/10/2023;218000;1;218000;50%;109000
186962;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;02/10/2023;129000;1;129000;50%;64500
186963;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;02/10/2023;40000;4;160000;40%;96000
186964;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;01/10/2023;74000;2;148000;40%;88800
186964;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/10/2023;159000;3;477000;50%;238500
186965;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;03/10/2023;74000;1;74000;40%;44400
186965;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;03/10/2023;93500;1;93500;40%;56100
186965;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/10/2023;66000;1;66000;50%;33000
186966;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;03/10/2023;40000;1;40000;40%;24000
186966;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/10/2023;66000;2;132000;50%;66000
186967;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);03/10/2023;283000;1;283000;50%;141500
186968;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;04/10/2023;129000;1;129000;50%;64500
186968;mic 0101033;lockcase 2;lockcase;lockcase/body kunci;04/10/2023;533000;1;533000;50%;266500
186969;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;04/10/2023;129000;1;129000;50%;64500
186969;mic 0102056;lockcase 1;lockcase;lockcase/body kunci;04/10/2023;243500;1;243500;50%;121750
186969;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/10/2023;283000;1;283000;50%;141500
186970;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/10/2023;283000;1;283000;50%;141500
186971;mic 0509100;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);07/10/2023;515500;1;515500;60%;206200
186971;mic 0103020;anak kunci;anak kunci;anak kunci/cylinder;07/10/2023;135500;1;135500;50%;67750
186972;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;08/10/2023;129000;1;129000;50%;64500
186973;mic 0702015;escushion 2;escushion;escushion/cover anak kunci;08/10/2023;15500;1;15500;40%;9300
186974;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);08/10/2023;342000;2;684000;60%;273600
186974;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/10/2023;159000;1;159000;50%;79500
186975;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/10/2023;66000;2;132000;50%;66000
186976;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/10/2023;73000;19;1387000;50%;693500
186977;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;10/10/2023;222000;1;222000;50%;111000
186977;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;10/10/2023;129000;1;129000;50%;64500
186977;mic 0702015;escushion 2;escushion;escushion/cover anak kunci;10/10/2023;15500;1;15500;40%;9300
186978;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;10/10/2023;56500;1;56500;40%;33900
186979;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);11/10/2023;522500;1;522500;60%;209000
186980;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;11/10/2023;129000;1;129000;50%;64500
186981;mic 0500022;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);11/10/2023;522500;1;522500;60%;209000
186982;mic 0601348;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;11/10/2023;422000;2;844000;50%;422000
186982;mic 0600001;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;11/10/2023;365500;2;731000;50%;365500
186982;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;11/10/2023;222000;2;444000;50%;222000
186982;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;11/10/2023;129000;2;258000;50%;129000
186982;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;11/10/2023;86500;2;173000;40%;103800
186982;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;11/10/2023;159000;6;954000;50%;477000
186983;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/10/2023;66000;1;66000;50%;33000
186983;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/10/2023;283000;1;283000;50%;141500
186984;mic 0600506;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;13/10/2023;471000;2;942000;50%;471000
186985;mic 0702015;escushion 2;escushion;escushion/cover anak kunci;14/10/2023;15500;1;15500;40%;9300
186986;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);14/10/2023;483000;1;483000;PROMO;145000
186986;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;14/10/2023;202000;1;202000;50%;101000
186987;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);14/10/2023;283000;1;283000;50%;141500
186988;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;16/10/2023;202000;2;404000;50%;202000
186988;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);16/10/2023;522500;1;522500;60%;209000
186989;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;16/10/2023;129000;1;129000;50%;64500
186989;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;16/10/2023;218000;1;218000;50%;109000
186989;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;16/10/2023;159000;1;159000;50%;79500
186990;mic 1100007;door  closer;door  closer;door  closer/otomatis pintu;17/10/2023;455500;4;1822000;50%;911000
186991;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;17/10/2023;50000;1;50000;40%;30000
186992;mic 3000003;rel;rel;rel pintu geser;18/10/2023;1060000;1;1060000;70%;318000
186993;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;19/10/2023;201500;1;201500;PROMO;81000
186994;mic 0400900;gagang pintu C;gagang pintu;gagang pintu;20/10/2023;536500;1;536500;PROMO;175000
186995;mic 3000004;rel;rel;rel pintu geser;21/10/2023;1211000;1;1211000;70%;363300
186995;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;21/10/2023;39000;2;78000;40%;46800
186996;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;22/10/2023;218000;1;218000;50%;109000
186997;mic 1900101;gembok;gembok;gembok;22/10/2023;509500;2;1019000;50%;509500
186998;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);22/10/2023;483000;1;483000;PROMO;145000
186998;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;22/10/2023;73000;1;73000;50%;36500
186999;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);23/10/2023;342000;6;2052000;60%;820800
186999;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;23/10/2023;159000;9;1431000;50%;715500
186999;mic 0600001;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;23/10/2023;365500;2;731000;50%;365500
186999;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;23/10/2023;73000;16;1168000;50%;584000
186999;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;23/10/2023;93500;15;1402500;40%;841500
186999;mic 2006009;grendel jendela K;grendel jendela;grendel kodok khusus jendela;23/10/2023;90500;14;1267000;40%;760200
186999;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;23/10/2023;222000;1;222000;50%;111000
186999;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;23/10/2023;129000;1;129000;50%;64500
186999;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;23/10/2023;164500;1;164500;40%;98700
186999;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;23/10/2023;90500;2;181000;40%;108600
