no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
199488;mic 2014035;pengganjal pintu;pengganjal pintu;pengganjal pintu;22/11/2023;86500;4;346000;30%;242200
199489;mic 0600043;gagang pintu D;gagang pintu;gagang pintu;22/11/2023;808500;2;1617000;40%;970200
199490;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);23/11/2023;283000;1;283000;40%;169800
199491;mic 2014036;pengganjal pintu;pengganjal pintu;pengganjal pintu;23/11/2023;155000;1;155000;30%;108500
199491;mic 2011060;Doorguard;Doorguard;pengunci pintu tambahan;23/11/2023;202500;1;202500;30%;141750
199492;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;23/11/2023;86500;1;86500;30%;60550
199493;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);25/11/2023;283000;2;566000;40%;339600
199494;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;26/11/2023;536500;1;536500;PROMO;175000
199494;mic 1510205;engsel pintu;engsel pintu;engsel pintu;26/11/2023;81500;2;163000;40%;97800
199495;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);27/11/2023;522500;1;522500;50%;261250
